,Method,Length
1693,FP2FM,1.8080422074821831
1694,FP2FM,5.698267756038804
1695,FP2FM,2.649574434281901
1696,FP2FM,0.5295519652961755
1697,FP2FM,1.7237421610664778
1698,FP2FM,7.300906906314493
1699,FP2FM,3.916270253891659
1700,FP2FM,7.910245943937655
1701,FP2FM,2.944069491870638
1702,FP2FM,2.670831822545932
1703,FP2FM,8.593483174997834
1704,FP2FM,4.648807191806689
1705,FP2FM,9.1234896364232
1706,FP2FM,6.294470037375664
1707,FP2FM,6.067117869517125
1708,FP2FM,7.348652062501832
1709,FP2FM,6.120118811067625
1710,FP2FM,5.292127920210234
1711,FP2FM,5.81360502767245
1712,FP2FM,6.143298971203332
1713,FP2FM,6.42141816665955
1714,FP2FM,5.496372266602774
1715,FP2FM,5.1033342749727915
1716,FP2FM,1.2787786399592174
1717,FP2FM,5.876974272971939
1718,FP2FM,5.1198607064315365
1719,FP2FM,4.365987027113309
1720,FP2FM,7.383406232377651
1721,FP2FM,4.249615074232832
1722,FP2FM,4.125697780565865
1723,FP2FM,6.869089120021177
1724,FP2FM,3.5833380282383875
1725,FP2FM,5.251581342519826
1726,FP2FM,4.624778498980428
1727,FP2FM,2.8918697006178675
1728,FP2FM,5.025259251354367
1729,FP2FM,5.125067570291601
1730,FP2FM,4.344592690976627
1731,FP2FM,7.7166065534910295
1732,FP2FM,5.090230572099173
1733,FP2FM,5.527857006902262
1734,FP2FM,4.795501296186839
1735,FP2FM,6.217014267090184
1736,FP2FM,4.124855174675924
1737,FP2FM,4.237135254132341
1738,FP2FM,4.938072799184341
1739,FP2FM,4.373316595348376
1740,FP2FM,4.072113046112407
1741,FP2FM,4.787657739339189
1742,FP2FM,4.7171675231314385
1743,FP2FM,6.467490620908491
1744,FP2FM,5.133706456617652
1745,FP2FM,5.068356906787248
1746,FP2FM,5.132220548222593
1747,FP2FM,6.207684801847472
1748,FP2FM,9.958836549758622
1749,FP2FM,3.4668682926274954
1750,FP2FM,8.558157078698143
1751,FP2FM,5.241715169987329
1752,FP2FM,5.398061203768406
1753,FP2FM,5.062458215949417
1754,FP2FM,5.308805365468438
1755,FP2FM,4.3907448829382885
1756,FP2FM,1.8748567561480434
1757,FP2FM,4.493493439505867
1758,FP2FM,1.8637916461072606
1760,FP2FM,6.523570389086331
1761,FP2FM,5.09775456280785
1762,FP2FM,1.49853210038131
1764,FP2FM,4.616336451895963
1765,FP2FM,8.103007331614359
1766,FP2FM,3.2512615100459303
1767,FP2FM,5.224530323591734
1768,FP2FM,1.909509645967291
1769,FP2FM,3.9550666129707257
1770,FP2FM,3.9644111143516456
1771,FP2FM,1.7172854246489457
1772,FP2FM,5.154306389247115
1774,FP2FM,3.7402971385969908
1775,FP2FM,3.303014346390755
1776,FP2FM,2.653509152742713
1778,FP2FM,1.310829715310793
1779,FP2FM,3.838924959425041
1780,FP2FM,7.293936080411961
1781,FP2FM,7.354436339291216
1782,FP2FM,6.3635969587086505
1783,FP2FM,6.304887027364978
1784,FP2FM,6.317365318045614
1785,FP2FM,6.328291925074241
1786,FP2FM,8.04855985471452
1787,FP2FM,6.610286355536297
1788,FP2FM,5.875571934946544
1789,FP2FM,7.8624477100764665
1790,FP2FM,5.690520015641026
1791,FP2FM,4.292086465924522
1792,FP2FM,5.511789398287691
1793,FP2FM,5.471560212982071
1794,FP2FM,5.173124955944127
1795,FP2FM,5.115114559836869
1796,FP2FM,4.278202030731928
1797,FP2FM,4.999557676622779
1798,FP2FM,4.3761793053365565
1799,FP2FM,4.406511925470726
1800,FP2FM,3.9196923830950747
1801,FP2FM,4.1987609497795155
1802,FP2FM,5.364865873646057
1803,FP2FM,4.537394773215422
1804,FP2FM,5.346369771107259
1805,FP2FM,5.14356936127154
1806,FP2FM,7.726885290373165
1807,FP2FM,7.020069235854276
1808,FP2FM,7.288637586940624
1809,FP2FM,7.9738851836429445
1810,FP2FM,7.545997741321204
1811,FP2FM,1.3369518640131037
1812,FP2FM,2.933445294877652
1813,FP2FM,4.915156205944127
1814,FP2FM,8.871846500281327
1815,FP2FM,4.991825532536811
1816,FP2FM,5.05347004618684
1817,FP2FM,7.897807744370437
1818,FP2FM,6.723510855904634
1819,FP2FM,6.837904562063392
1820,FP2FM,6.057583823919066
1821,FP2FM,5.431093705944128
1822,FP2FM,5.158889707895156
1823,FP2FM,5.027293214747018
1825,FP2FM,8.39285034084389
1826,FP2FM,4.654675729553909
1827,FP2FM,5.680845019753315
1828,FP2FM,4.070975512287801
1829,FP2FM,4.605173559124767
1830,FP2FM,3.970047098969083
1831,FP2FM,10.444723802669253
1832,FP2FM,9.083119700617862
1833,FP2FM,4.40250728072793
1834,FP2FM,7.857626622354924
1835,FP2FM,5.099853670860735
1836,FP2FM,7.8465137536154925
1837,FP2FM,7.475292939797185
1838,FP2FM,8.422847854481342
1839,FP2FM,4.695107620090885
1840,FP2FM,10.330559017337471
1841,FP2FM,7.063655195756206
1843,FP2FM,1.8652742607793675
1844,FP2FM,4.693767167206235
1845,FP2FM,7.372520206947932
1846,FP2FM,8.583969318934214
1847,FP2FM,6.2881510739295505
1848,FP2FM,5.3596344349465435
1849,FP2FM,5.599342638109579
1850,FP2FM,4.369292050892385
1851,FP2FM,5.076136973558192
1852,FP2FM,4.272867772010983
1853,FP2FM,5.752518533882469
1854,FP2FM,5.679562992011124
1855,FP2FM,6.258365629719664
1856,FP2FM,4.494546783651405
1857,FP2FM,4.687636536479453
1858,FP2FM,4.9825211222693095
1859,FP2FM,5.624570268444127
1860,FP2FM,4.979673448419337
1861,FP2FM,5.797129884806579
1862,FP2FM,4.8397617363499705
1863,FP2FM,8.074243084887879
1864,FP2FM,4.797991158958835
1865,FP2FM,6.119366840581256
1866,FP2FM,6.468501225697443
1867,FP2FM,6.607444299593318
1868,FP2FM,5.7080937363528585
1869,FP2FM,5.76871778002811
1870,FP2FM,5.65619745537454
1871,FP2FM,5.772514725517506
1872,FP2FM,6.467111111544369
1873,FP2FM,5.624570268444128
1874,FP2FM,4.300907393204778
1875,FP2FM,5.291304719487722
1876,FP2FM,5.356949589043198
1877,FP2FM,5.063687379385296
1878,FP2FM,5.441673523880068
1879,FP2FM,6.683913025147661
1880,FP2FM,4.506235688809189
1881,FP2FM,6.669734257217878
1882,FP2FM,4.4377837278731675
1883,FP2FM,4.501652370161145
1884,FP2FM,3.9699036135256947
1885,FP2FM,5.0448385867606875
1886,FP2FM,4.604546751643558
1887,FP2FM,4.371657390372192
1888,FP2FM,3.8444664476120787
1889,FP2FM,4.721679643444127
1890,FP2FM,5.934838356730412
1891,FP2FM,5.831409277513827
1892,FP2FM,3.995416685327166
1893,FP2FM,4.392736914551388
1894,FP2FM,5.632164088888768
1895,FP2FM,4.257897555639856
1896,FP2FM,5.858673153564491
1897,FP2FM,4.608343697132954
1898,FP2FM,4.391889137709062
1899,FP2FM,5.33237007876012
